id;tenant_id;transaction_reference;email;first_name;last_name;phone;quantity;price_per_unit;total_amount;tax_amount;platform_fee_amount;service_fee;discount_code_id;discount_amount;final_amount;status;payment_method;payment_reference;purchase_date;confirmation_sent_at;refund_amount;refund_date;refund_reason;stripe_checkout_session_id;stripe_payment_intent_id;stripe_customer_id;stripe_payment_status;stripe_customer_email;stripe_payment_currency;stripe_amount_discount;stripe_amount_tax;stripe_fee_amount;event_id;user_id;created_at;updated_at
1;millisecond;which shyly;Jarod_Kovacek42@yahoo.com;Jana;Schiller;1-409-558-2381 x78913;17570;31871.6;2218.83;8414.53;16850.91;6656.69;32758;4554.72;27216.29;whose;incidentally after gosh;gah besides;2025-05-30T11:40:22;2025-05-29T22:07:55;16197.3;2025-05-29T23:49:56;../fake-data/blob/hipster.txt;frown nurture;wherever;landscape;drafty er enormously;yowza or;youthful o;21417.32;12451.01;6856.25;10304;20885;2025-05-30T00:09:38;2025-05-29T16:36:01
2;asparagus fiercely keelhaul;cabana;Wade74@hotmail.com;Reynold;Hammes;481-396-7387 x022;24201;28066.86;9663.16;16134.2;5420.27;14883.59;8308;25996.67;6711.07;wheat;usefully furiously;ghost concerning;2025-05-30T07:20:45;2025-05-30T04:02:32;465.7;2025-05-29T19:45:56;../fake-data/blob/hipster.txt;driver as;inside disincentivize before;crossly;clam plus;past truly esteemed;whoever co;7340.51;8100.34;27626.22;10424;28476;2025-05-30T06:44:38;2025-05-30T07:44:55
3;upright remind;tame;Everette.Zboncak71@yahoo.com;Kianna;Schmitt;(338) 795-9463 x1950;3365;20450.46;29676.32;3149.19;22334.83;20350.51;25806;4507.01;13388.62;chick pint;safe searchingly aha;jaded elevate;2025-05-30T07:40:34;2025-05-30T07:25:08;31179.14;2025-05-30T05:50:50;../fake-data/blob/hipster.txt;desist;highly yum;antling following;gah towards;oh;scary now ;32700.42;217.55;29962.57;19253;13504;2025-05-30T12:54:41;2025-05-29T21:43:31
4;far-off;tenderly now;Zachery_Jenkins@hotmail.com;Jefferey;Rolfson;206-637-4125 x5131;29724;12253.03;27956.45;28796.43;21289.63;5124.16;12767;26014.86;9247;along gah towards;gah ew;gazump notwithstanding;2025-05-29T16:51:40;2025-05-29T19:58:14;25919.52;2025-05-30T08:37:05;../fake-data/blob/hipster.txt;brr;unsung;times grassland gearshift;punch;phooey blah;aw;17331.59;12970.26;12089.34;9598;8291;2025-05-30T03:24:25;2025-05-30T08:33:08
5;survey amidst separate;blah yippee airfreight;America_OReilly48@hotmail.com;Clara;Skiles;(940) 234-3426 x52344;14409;22507.66;6446.31;16077.62;6897.48;20373.19;28886;12371.04;23317.32;valance;than of;via libel;2025-05-29T18:15:31;2025-05-30T07:30:14;527.13;2025-05-30T11:50:02;../fake-data/blob/hipster.txt;towards onto monthly;long excepting journalism;underneath madly mollify;intently left constitution;upside-down;untrue;20936.14;18260.23;4754.02;28493;1007;2025-05-30T00:03:57;2025-05-29T16:31:17
6;eek;graze;Russel98@gmail.com;Name;Lesch;314-397-2496 x641;13724;18943.69;3573.64;9664.47;6975.27;2522.37;4269;11978.51;1598.75;especially boo plead;corrupt muscle;registry huzzah but;2025-05-30T04:44:42;2025-05-29T17:59:34;27246.54;2025-05-30T09:34:21;../fake-data/blob/hipster.txt;qua arrogate aw;consequently notwithstanding;big unto;creek;usually after miserably;mosh;14582.52;22186.72;4394.64;10219;3729;2025-05-30T04:07:20;2025-05-30T02:21:20
7;oily absent;gifted;Rosie7@hotmail.com;Allan;Gutmann;938.689.4277;24549;6831.07;2207.28;13953.23;26722.01;14338.38;2902;10836.95;28581.77;so unsightly calmly;after behind rudely;psst;2025-05-30T05:58:08;2025-05-29T23:39:01;30546.19;2025-05-30T05:23:43;../fake-data/blob/hipster.txt;forecast;snipe;delivery than dough;tidy;trained;but ack;19515.46;17884.35;5546.32;26892;29656;2025-05-29T21:21:20;2025-05-30T03:08:12
8;around;which knottily;Jesse20@hotmail.com;Rosetta;Effertz;842-419-0592 x0398;20919;9367.02;15050.3;3449;9394.86;32598.27;20416;29507.75;23551.19;at strudel;repatriate shout equally;tenderize brainstorm;2025-05-30T04:01:52;2025-05-30T01:50:34;22193.21;2025-05-30T11:21:34;../fake-data/blob/hipster.txt;what;boring;separately;linguistics;belt deadly;behind by ;13074.66;27446;9949.25;15175;10750;2025-05-30T03:56:29;2025-05-30T04:11:23
9;uh-huh unnaturally;very simple;Ceasar40@yahoo.com;Ubaldo;Gerlach;890-397-9829 x11348;5334;30669.14;18356.89;3448.99;2001.99;20020.76;15160;9569.44;20955.98;jicama vagrant damaged;loosely hearthside;whenever crest;2025-05-30T07:09:42;2025-05-29T17:45:02;18689.1;2025-05-29T17:40:16;../fake-data/blob/hipster.txt;freely underneath blah;rhapsodize reappraise;colorful;prefix;livid;since beyo;12307.29;420.62;28194.62;6003;11933;2025-05-29T19:53:14;2025-05-30T07:01:11
10;mink consequently dearly;fooey substantial;Jarrell.Lindgren92@hotmail.com;Rasheed;Windler;556-363-0981;11325;2296.42;24812.2;9025.2;25218.98;13361.4;13324;30404.46;10082.45;miserably frantically jab;mortally machinery sans;make yowza;2025-05-29T14:11:33;2025-05-29T16:25:17;23821.72;2025-05-30T13:33:00;../fake-data/blob/hipster.txt;congeal judgementally;regularly;geez;so yet;indeed er;ouch leap;22783.46;20106.6;14549.14;11152;23416;2025-05-30T02:47:39;2025-05-30T00:03:13
