id;tenant_id;title;description;status;priority;due_date;completed;assignee_name;assignee_contact_phone;assignee_contact_email;created_at;updated_at
1;multicolored acidic that;spec to where;../fake-data/blob/hipster.txt;overconfidently;mmm afore pride;2025-04-22T07:41:33;false;anti who;underneath;because with;2025-04-22T07:51:53;2025-04-22T08:19:27
2;brightly when;psst anenst;../fake-data/blob/hipster.txt;understated beautifully huzzah;an balance;2025-04-21T21:51:32;true;harvest thankfully;dowse;ick;2025-04-22T02:45:16;2025-04-22T06:23:04
3;guerrilla collagen um;elegantly;../fake-data/blob/hipster.txt;swiftly to pitch;thankfully;2025-04-22T10:48:49;false;excrete scaly;besides mindless;yummy best;2025-04-21T23:41:06;2025-04-21T23:19:59
4;phooey following ecstatic;baby morph;../fake-data/blob/hipster.txt;original yippee invoice;lighting while;2025-04-22T06:48:42;true;ionize scarcely razz;credential wrathful but;abut sweeps;2025-04-22T13:33:14;2025-04-21T22:24:41
5;cuff minus suddenly;scoff palate majestically;../fake-data/blob/hipster.txt;ah ack;criminalise;2025-04-21T23:04:52;true;cheerful rethinking;enthusiastically;unconscious attacker;2025-04-22T15:46:15;2025-04-22T02:05:03
6;anenst;pare;../fake-data/blob/hipster.txt;beside behave zowie;round tedious behind;2025-04-22T18:47:15;true;powerfully;than;gee apud;2025-04-22T01:50:13;2025-04-22T19:50:37
7;kick artistic impolite;what;../fake-data/blob/hipster.txt;second;yum;2025-04-21T23:01:38;true;provided drat past;duh;malfunction bah bill;2025-04-22T00:11:56;2025-04-22T01:21:52
8;compassionate and loyally;regularly blah;../fake-data/blob/hipster.txt;rarely;correctly zowie;2025-04-21T21:33:50;false;ick madly;inexperienced around;deglaze hence;2025-04-22T13:16:10;2025-04-21T23:19:00
9;strong anxiously incidentally;exercise boo how;../fake-data/blob/hipster.txt;rebound;joyously huzzah;2025-04-22T02:17:18;true;moonlight gosh;uselessly asparagus stealthily;bike applause interviewer;2025-04-22T08:45:35;2025-04-22T05:54:32
10;axe substitution;while fitness oddly;../fake-data/blob/hipster.txt;flock;bracket brr under;2025-04-22T16:14:40;true;inventor gladly;humble quicker ew;interfere;2025-04-22T04:31:54;2025-04-21T21:55:01
