id;tenant_id;recipient_phone;message_body;sent_at;status;type;campaign_id;metadata
1;less hubcap;unequaled while even;../fake-data/blob/hipster.txt;2025-06-23T22:39:58;enshroud;dissuade hmph;29781;../fake-data/blob/hipster.txt
2;deeply enshrine;broker up;../fake-data/blob/hipster.txt;2025-06-23T18:46:48;dazzling;lest really;27374;../fake-data/blob/hipster.txt
3;developer yuck yowza;bah weak hard-hat;../fake-data/blob/hipster.txt;2025-06-24T03:41:20;lest wherever;whose;17102;../fake-data/blob/hipster.txt
4;communicant brightly;editorialize over maelstrom;../fake-data/blob/hipster.txt;2025-06-23T04:09:18;police unfolded meh;overnighter;15721;../fake-data/blob/hipster.txt
5;sic;nicely swot;../fake-data/blob/hipster.txt;2025-06-23T16:11:44;energetically phony worried;likewise;13743;../fake-data/blob/hipster.txt
6;yum through;whenever among;../fake-data/blob/hipster.txt;2025-06-23T21:37:45;below false;deem whereas paltry;9879;../fake-data/blob/hipster.txt
7;ack unit misty;far tinge;../fake-data/blob/hipster.txt;2025-06-23T19:21:11;than;unnaturally busily short-term;7093;../fake-data/blob/hipster.txt
8;ack;actual at;../fake-data/blob/hipster.txt;2025-06-23T15:18:10;overcome;boohoo forbid;6160;../fake-data/blob/hipster.txt
9;elaborate;yowza psst;../fake-data/blob/hipster.txt;2025-06-23T16:27:07;casket;till abaft;24879;../fake-data/blob/hipster.txt
10;nor;inquisitively;../fake-data/blob/hipster.txt;2025-06-24T00:39:51;whereas save unless;although fresco;26214;../fake-data/blob/hipster.txt
